ClassCode,LineNo,Misc1,RoomNo,CourseName,Misc2,Year,Dept,StaffCode,ClassSize,TotalSize,TimetableYear,Misc3
JMAHITOI,JTR,0,WHARE2,Mahi Toi,Year 8,8,Te Reo Māori,WE,14,14,2025TT,JMAHITOI|JTR||||WE|WHARE2|14|14||||2|0||
JPANGARAU,JTR,0,WHARE2,Junior Pangarau,Year 8,8,Te Reo Māori,WE,14,14,2025TT,JPANGARAU|JTR||||WE|WHARE2|14|14||||2|0||
JAKORANGA,JTR,0,WHARE2,JAkoranga,Year 7,7,Te Reo Māori,WE,14,14,2025TT,JAKORANGA|JTR||||WE|WHARE2|14|14||||2|0||
JTREO,JTR,0,WHARE2,JTe reo Maori,Year 7,7,Te Reo Māori,WE,14,14,2025TT,JTREO|JTR||||WE|WHARE2|14|14||||2|0||
JTRPAKEHA,JTR,0,WHARE2,JTRPAKEHA,0,0,JTRPAKEHA,WE,14,14,2025TT,JTRPAKEHA|JTR||||WE|WHARE2|14|14||||2|0||
JTRMATH,JTR,0,WHARE3,Mathematics,Junior School,8,Mathematics,SD,14,14,2025TT,JTRMATH|JTR||||SD|WHARE3|14|14||||2|0||
Timetable,0,0,0,Timetable,0,0,Timetable,JD,0,0,2025TT,Timetable|JD||||JD||0|0||||2|0||
Dogtrain,0,0,0,Dogtrain,0,0,Dogtrain,JT,41,41,2025TT,Dogtrain|||||JT||41|41|22031;19017;19051;20023;20073;21066;21077;21004;20033;20096;20024;23043;23036;21029;21050;21009;21056;20018;21085;19016;20014;20039;19009;20035;22007;20031;19055;20025;20074;20074;20079;19022;20008;19025;19025;21028;20003;20006;20002;21031;23112|||3|0
STUDY,6,1,0,STUDY,0,0,STUDY,JT,1,25,2025TT,STUDY||6|1|0|JT||1|25||||1|0||
STUDY,5,1,0,STUDY,0,0,STUDY,JT,0,25,2025TT,STUDY||5|1|0|JT||0|25||||1|0||
STUDY,4,1,0,STUDY,0,0,STUDY,JT,3,25,2025TT,STUDY||4|1|0|JT||3|25||||1|0||
STUDY,3,1,0,STUDY,0,0,STUDY,JT,10,25,2025TT,STUDY||3|1|0|JT||10|25||||1|0||
STUDY,2,1,0,STUDY,0,0,STUDY,JT,10,25,2025TT,STUDY||2|1|0|JT||10|25||||1|0||
NETNZDVC,1,1,0,NETNZDVC,0,0,NETNZDVC,JT,1,1,2025TT,NETNZDVC||1|1|0|JT||1|1||||1|0||
STUDY,1,1,0,STUDY,0,0,STUDY,JT,2,25,2025TT,STUDY||1|1|0|JT||2|25||||1|0||
MackDL,KV,0,0,MackDL,0,0,MackDL,KV,0,0,2025TT,MackDL|KV||||KV||0|0||||2|0||
REVI,0,0,0,REVI,0,0,REVI,Michael,2,2,2025TT,REVI|||||Michael||2|2|20061;20061|||3|0
GATESDT,0,0,0,GATESDT,0,0,GATESDT,VP,4,4,2025TT,GATESDT|||||VP||4|4|20024;20039;20080;23112|||3|0
MMUSIC,81B,1,0,Music,Middle School,10,Arts,0,0,23,2025TT,MMUSIC||81|1|2|||0|23||||1|0||
MMUSIC,81A,1,0,Music,Middle School,10,Arts,0,0,23,2025TT,MMUSIC||81|1|1|||0|23||||1|0||
