ClassCode,LineNo,Misc1,RoomNo,CourseName,Misc2,Year,Dept,StaffCode,ClassSize,TotalSize,TimetableYear,Misc3
MFOOD,81D,1,F,Food and Nutrition,Middle School,10,Technology,DK,24,83,2025TT,MFOOD||81|1|4|DK|F|24|83||||1|0||
MFOOD,81C,1,F,Food and Nutrition,Middle School,10,Technology,DK,24,83,2025TT,MFOOD||81|1|3|DK|F|24|83||||1|0||
MIFOOD,JMI,0,F,Food and Nutrition,Junior School,8,Technology,DK,20,20,2025TT,MIFOOD|JMI||||DK|F|20|20||||2|0||
8SFOOD,8S,0,F,Year 8 Food Sm,Year 8,8,Technology,DK,11,11,2025TT,8SFOOD|8S||||DK|F|11|11||||2|0||
VEFOOD,JVE,0,F,Food and Nutrition,Junior School,7,Technology,DK,24,24,2025TT,VEFOOD|JVE||||DK|F|24|24||||2|0||
SRFOOD,JSR,0,F,Food and Nutrition,Junior School,7,Technology,DK,19,19,2025TT,SRFOOD|JSR||||DK|F|19|19||||2|0||
SDFOOD,JSD,0,F,Food and Nutrition,Junior School,7,Technology,DK,19,19,2025TT,SDFOOD|JSD||||DK|F|19|19||||2|0||
7SFOOD,7S,0,F,Food and Nutrition,Year 1,1,Technology,DK,13,13,2025TT,7SFOOD|7S||||DK|F|13|13||||2|0||
WHANAU,11WHAU,0,F,Life Skills/Personal Development,Year 1,1,English and Languages,DK,13,13,2025TT,WHANAU|11WHAU||||DK|F|13|13||||2|0||
MEET,11WHAU,0,F,MEET,0,0,MEET,DK,13,13,2025TT,MEET|11WHAU||||DK|F|13|13||||2|0||
PIFOOD,JPI,0,F,Food and Nutrition,Junior School,7,Technology,HM,21,21,2025TT,PIFOOD|JPI||||HM|F|21|21||||2|0||
200HOSP,4,1,F,Hospitality,NCEA Level 2,12,Technology,MK,18,18,2025TT,200HOSP||4|1|0|MK|F|18|18||||1|0||
100HOSP,2,1,F,Hospitality,NCEA Level 1,11,Technology,MK,20,38,2025TT,100HOSP||2|1|0|MK|F|20|38||||1|0||
MFOOD,81B,1,F,Food and Nutrition,Middle School,10,Technology,MK,23,83,2025TT,MFOOD||81|1|2|MK|F|23|83||||1|0||
MFOOD,81A,1,F,Food and Nutrition,Middle School,10,Technology,MK,22,83,2025TT,MFOOD||81|1|1|MK|F|22|83||||1|0||
300PHED,6,1,G,Physical Education,NCEA Level 3,13,Physical Education,BA,10,10,2025TT,300PHED||6|1|0|BA|G|10|10||||1|0||
100PHED,5,1,G,Physical Education,NCEA Level 1,11,Physical Education,BA,21,33,2025TT,100PHED||5|1|0|BA|G|21|33||||1|0||
PISPORT,JPI,0,G,Sport,Year 8,8,Physical Education,CY,21,21,2025TT,PISPORT|JPI||||CY|G|21|21||||2|0||
200PHED,Year12PE,0,G,Physical Education,NCEA Level 2,12,Physical Education,HM,17,17,2025TT,200PHED|Year12PE||||HM|G|17|17||||2|0||
100PHED,2,1,G,Physical Education,NCEA Level 1,11,Physical Education,JM,12,33,2025TT,100PHED||2|1|0|JM|G|12|33||||1|0||
SDPEH,JSD,0,G,Physical Education,Year 8,8,Physical Education,MI,19,19,2025TT,SDPEH|JSD||||MI|G|19|19||||2|0||
MIPEH,JMI,0,G,Physical Education,Year 8,7,Physical Education,MI,20,20,2025TT,MIPEH|JMI||||MI|G|20|20||||2|0||
VEPEH,0,0,G,Physical Education,Junior School,7,Physical Education,MI,2,2,2025TT,VEPEH|||||MI|G|2|2|22031;22031|||3|0
SRPEH,JSR,0,G,Physical Education,Year 8,7,Physical Education,PI,19,19,2025TT,SRPEH|JSR||||PI|G|19|19||||2|0||
SDSPORT,JSD,0,G,Sport,Year 8,8,Physical Education,RW,19,19,2025TT,SDSPORT|JSD||||RW|G|19|19||||2|0||
9PEH,9H,0,G1,Physical Education,Year 9,9,Physical Education,BP,17,17,2025TT,9PEH|9H||||BP|G1|17|17||||2|0||
9HPEH,0,0,G1,9HPEH,Year 9,9,HPEH,BP,1,1,2025TT,9HPEH|||||BP|G1|1|1|22031|||3|0
